"";"dw08";"sex";"educ";"dw18";"dg10";"dw19c"
"1";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"2";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-OST";NA
"3";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"HESSEN";NA
"4";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"HAMBURG";NA
"5";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"6";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"7";NA;"MANN";"HOCHSCHULREIFE";NA;"SCHLESWIG-HOLSTEIN";NA
"8";NA;"FRAU";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"9";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"10";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN";NA
"11";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"12";NA;"FRAU";"OHNE ABSCHLUSS";NA;"HAMBURG";NA
"13";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"14";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"FRUEHERE DT.OSTGEB.";NA
"15";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"16";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"RHEINLAND-PFALZ";"104 UND MEHR WOCHEN"
"17";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"18";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"SACHSEN";"26 BIS 51 WOCHEN"
"19";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"20";NA;"MANN";"HOCHSCHULREIFE";NA;"BRANDENBURG";NA
"21";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"SONSTIGES LAND";NA
"22";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"HESSEN";NA
"23";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SCHLESWIG-HOLSTEIN";NA
"24";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"25";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"26";NA;"FRAU";"MITTLERE REIFE";NA;"SONSTIGES LAND";NA
"27";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"28";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"29";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"30";"BEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"31";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"SACHSEN";"26 BIS 51 WOCHEN"
"32";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"33";"BEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"34";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"35";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"36";"BEFRISTET";"MANN";"MITTLERE REIFE";"JA";"SCHLESWIG-HOLSTEIN";"26 BIS 51 WOCHEN"
"37";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SCHLESWIG-HOLSTEIN";NA
"38";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"39";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"EHEM. BERLIN-OST";NA
"40";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"41";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"42";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"43";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"RHEINLAND-PFALZ";NA
"44";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"45";NA;"FRAU";"MITTLERE REIFE";NA;"HESSEN";NA
"46";NA;"MANN";"MITTLERE REIFE";"JA";"BADEN-WUERTTEMBERG";"52 BIS 103 WOCHEN"
"47";NA;"MANN";"HOCHSCHULREIFE";NA;"NIEDERSACHSEN";NA
"48";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"SONSTIGES LAND";NA
"49";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BRANDENBURG";NA
"50";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"51";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BAYERN";NA
"52";"UNBEFRISTET";"MANN";"OHNE ABSCHLUSS";"NEIN";"MECKLENB.-VORPOMMERN";NA
"53";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"54";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"55";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"HESSEN";NA
"56";"BEFRISTET";"MANN";"MITTLERE REIFE";"JA";"THUERINGEN";"104 UND MEHR WOCHEN"
"57";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"58";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"59";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"SONSTIGES LAND";"12 BIS 25 WOCHEN"
"60";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"61";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"26 BIS 51 WOCHEN"
"62";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"63";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"64";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"65";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"66";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"BAYERN";NA
"67";"BEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"68";NA;"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"69";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"EHEM. BERLIN-OST";NA
